상지 패턴 2: X,능동 엎드린자세 상지패턴2: O,,누운자세 교차 상지 패턴 검사: O,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: O,,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: O,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: O,,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: O,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: O,,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: X,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: O,,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: X,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: O,,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: X,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: O,,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: P,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: O,,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: P,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: O,,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: P,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: O,능동 엎드린자세 팔꿈치 굴곡2: O,,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: O,능동 엎드린자세 팔꿈치 굴곡2: O,,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: O,능동 엎드린자세 팔꿈치 굴곡2: O,,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: O,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: O,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: O,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: O,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: O,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: O,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: O,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: X,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: O,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: X,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: O,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: X,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: O,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: P,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: O,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: P,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: O,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: P,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: X,능동 엎드린자세 팔꿈치 굴곡2: O,,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: X,능동 엎드린자세 팔꿈치 굴곡2: O,,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: X,능동 엎드린자세 팔꿈치 굴곡2: O,,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: X,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: O,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: X,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: O,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: X,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: O,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: X,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: X,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: X,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: X,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: X,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: X,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: X,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: P,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: X,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: P,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: X,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: P,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: P,능동 엎드린자세 팔꿈치 굴곡2: O,,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: P,능동 엎드린자세 팔꿈치 굴곡2: O,,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: P,능동 엎드린자세 팔꿈치 굴곡2: O,,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: P,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: O,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: P,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: O,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: P,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: O,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: P,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: X,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: P,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: X,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: P,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: X,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: P,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: P,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: P,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: P,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: O,능동 엎드린자세 어깨 외전 170도: X,수동 엎드린자세 어깨 외전 170도: P,능동 엎드린자세 팔꿈치 굴곡2: X,수동 엎드린자세 팔꿈치 굴곡2: P,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: X,능동 엎드린자세 어깨 외전 170도: O,,능동 엎드린자세 팔꿈치 굴곡2: O,,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 2: X,능동 엎드린자세 상지패턴2: X,수동 엎드린자세 상지패턴2: X,,능동 엎드린자세 어깨 90/90 외회전 90도: X,수동 엎드린자세 어깨 90/90 외회전 90도: X,능동 엎드린자세 어깨 외전 170도: O,,능동 엎드린자세 팔꿈치 굴곡2: O,,능동 요추 잠금 신전-회전 (가슴) 50도: X,
