상지 패턴 1: X,능동 엎드린자세 상지패턴1: O,,누운자세 교차 상지 패턴 검사: O,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: O,,누운자세 교차 상지 패턴 검사: X,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: O,,누운자세 교차 상지 패턴 검사: P,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: O,누운자세 교차 상지 패턴 검사: O,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: O,누운자세 교차 상지 패턴 검사: X,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: O,누운자세 교차 상지 패턴 검사: P,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: O,,능동 엎드린자세 팔꿈치 굴곡: O,,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: O,,능동 엎드린자세 팔꿈치 굴곡: O,,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: O,,능동 엎드린자세 팔꿈치 굴곡: O,,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: O,,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: O,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: O,,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: O,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: O,,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: O,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: O,,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: X,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: O,,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: X,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: O,,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: X,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: O,,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: P,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: O,,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: P,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: O,,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: P,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: O,능동 엎드린자세 팔꿈치 굴곡: O,,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: O,능동 엎드린자세 팔꿈치 굴곡: O,,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: O,능동 엎드린자세 팔꿈치 굴곡: O,,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: O,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: O,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: O,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: O,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: O,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: O,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: O,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: X,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: O,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: X,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: O,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: X,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: O,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: P,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: O,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: P,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: O,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: P,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: X,능동 엎드린자세 팔꿈치 굴곡: O,,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: X,능동 엎드린자세 팔꿈치 굴곡: O,,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: X,능동 엎드린자세 팔꿈치 굴곡: O,,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: X,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: O,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: X,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: O,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: X,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: O,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: X,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: X,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: X,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: X,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: X,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: X,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: X,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: P,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: X,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: P,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: X,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: P,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: P,능동 엎드린자세 팔꿈치 굴곡: O,,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: P,능동 엎드린자세 팔꿈치 굴곡: O,,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: P,능동 엎드린자세 팔꿈치 굴곡: O,,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: P,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: O,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: P,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: O,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: P,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: O,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: P,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: X,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: P,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: X,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: P,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: X,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: P,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: P,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: P,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: P,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: O,,능동 엎드린자세 어깨 신전 50도: X,수동 엎드린자세 어깨 신전 50도: P,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: P,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: X,수동 엎드린자세 어깨 90/90 내회전 60도: O,능동 엎드린자세 어깨 신전 50도: O,,능동 엎드린자세 팔꿈치 굴곡: O,,능동 요추 잠금 신전-회전 (가슴) 50도: O,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: X,수동 엎드린자세 어깨 90/90 내회전 60도: O,능동 엎드린자세 어깨 신전 50도: O,,능동 엎드린자세 팔꿈치 굴곡: O,,능동 요추 잠금 신전-회전 (가슴) 50도: X,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: X,수동 엎드린자세 어깨 90/90 내회전 60도: O,능동 엎드린자세 어깨 신전 50도: O,,능동 엎드린자세 팔꿈치 굴곡: O,,능동 요추 잠금 신전-회전 (가슴) 50도: P,
상지 패턴 1: X,능동 엎드린자세 상지패턴1: X,수동 엎드린자세 상지패턴1: X,,능동 엎드린자세 어깨 90/90 내회전 60도: X,수동 엎드린자세 어깨 90/90 내회전 60도: O,능동 엎드린자세 어깨 신전 50도: O,,능동 엎드린자세 팔꿈치 굴곡: X,수동 엎드린자세 팔꿈치 굴곡: O,능동 요추 잠금 신전-회전 (가슴) 50도: O,
